structure_id,x,y,z,reference_space_id
536,6600,5660,3040,10
1092,6550,4260,3520,10
6,6640,4690,3520,10
254,7950,990,4880,10
182305701,5820,1680,2870,10
922,8230,4500,1030,10
997,7430,3990,3760,10
151,1920,3660,4550,10
851,9080,1660,4990,10
182305713,6190,2240,3270,10
453,5840,2410,2400,10
685,6830,4990,4770,10
772,4830,2500,5300,10
631,7510,6850,2890,10
988,7990,4320,1200,10
993,3610,2110,4370,10
1008,7940,3520,3420,10
386,11910,5670,3910,10
846,11180,4260,3180,10
639,6350,7100,3190,10
312782594,8960,2350,2020,10
670,6610,750,3840,10
84,3460,2960,4870,10
894,8130,820,4400,10
281,7650,370,3970,10
1056,11480,2760,2730,10
822,9240,4100,2190,10
616,10110,3420,4340,10
802,5940,3930,5100,10
496345672,7600,3120,3510,10
942,6060,5680,2380,10
135,11890,6620,4330,10
491,8050,6120,5360,10
154,11620,5160,5450,10
463,7840,3580,2830,10
38,6070,5660,5530,10
786,8370,3620,1380,10
675,4110,4930,3010,10
695,5620,2880,2780,10
122,9760,6850,4500,10
902,9910,2250,2470,10
771,9870,5540,4640,10
862,6160,3520,1920,10
893,6330,3490,2050,10
957,12660,4290,5100,10
430,7730,1240,5490,10
946,7450,5580,5390,10
73,7790,3740,5680,10
319,7000,6380,2860,10
312782640,9440,2560,1540,10
507,1370,4390,4820,10
163,5890,5150,1400,10
961,5620,6050,2330,10
312782570,7350,1290,3800,10
1015,4380,1960,5230,10
226,5410,6210,4640,10
312782648,9360,2870,1820,10
991,6960,2760,4060,10
630,3040,3840,4140,10
441,7710,1170,4140,10
886,7790,1260,5200,10
595,7540,4040,5300,10
312782574,9050,2140,1790,10
814,3640,4290,5330,10
356,7050,5720,4350,10
621,10200,5290,4090,10
575,6880,3600,4830,10
436,5930,5370,5120,10
542,7810,1280,5610,10
880,10420,4160,5490,10
984,11070,2800,4980,10
395,12740,6340,4830,10
732,7920,6160,5610,10
987,9920,5680,4920,10
581,5530,3710,5430,10
990,7760,3380,970,10
54,7840,5590,5040,10
126,7640,6830,5490,10
826,4890,5410,5490,10
590,7900,1260,4910,10
693,6810,6710,5250,10
62,10680,5150,5530,10
1064,12210,3140,2740,10
449,5870,3100,5460,10
132,3800,3150,4780,10
545,10020,2070,3200,10
702,5720,2540,2200,10
803,5430,5600,4280,10
973,9150,1700,1990,10
274,7970,980,4640,10
566,8460,6230,1860,10
549009227,10340,5260,3850,10
98,4840,2920,4660,10
140,10140,2970,5540,10
186,6980,3230,5240,10
605,3060,6090,5270,10
907,6830,4360,5010,10
607344858,8700,5350,5450,10
328,3280,4360,2810,10
33,8940,1530,3230,10
318,10850,4930,5420,10
768,6950,2770,3920,10
1129,6850,4870,4640,10
104,3470,4280,2980,10
500,3930,2220,3980,10
709,7030,4240,3960,10
155,6610,3220,4270,10
36,4460,4530,1610,10
725,7490,4530,4380,10
573,9100,1800,2090,10
119,3720,4900,2980,10
1080,7970,3240,3070,10
111,5970,5100,1520,10
780,7940,6220,3120,10
859,12430,5070,4830,10
96,11270,5000,3230,10
897,6200,4500,840,10
1057,4660,4470,1960,10
975,8620,4040,5670,10
234,8530,3450,910,10
958,6930,3130,5340,10
543,9950,4330,2160,10
330,7560,1060,4730,10
1025,12410,4000,3140,10
854,5340,1440,3130,10
841,10040,6940,5240,10
312782578,9140,1920,1550,10
607344842,8900,5210,5630,10
1117,9640,5180,4980,10
312782608,7780,1090,2530,10
445,11140,5920,3790,10
475,8330,3830,3460,10
1044,8470,4350,3420,10
1065,11080,5810,4550,10
989,11720,3690,4750,10
874,9400,3850,3550,10
323,8970,3370,4800,10
380,13080,5150,4800,10
275,4920,4040,5240,10
230,11660,7100,5670,10
1022,6130,4760,3430,10
553,12120,6960,3700,10
844,4560,2650,3750,10
824,7550,4220,5330,10
129,5980,3680,5550,10
189,6610,4720,5580,10
42,9330,2430,5080,10
302,9200,1560,5000,10
601,8240,1940,2240,10
1058,6340,4440,1350,10
178,7650,3930,3030,10
28,9140,4560,1590,10
560581563,8490,4200,3590,10
805,8450,390,3960,10
658,9670,4780,3890,10
918,8940,4810,1340,10
1006,6580,560,3780,10
1102,4850,3200,2620,10
315,5820,2480,3190,10
483,6870,3030,5460,10
750,10260,2140,2410,10
637,6960,4390,4200,10
114,10050,6650,4250,10
482,9630,2800,3540,10
312782586,9060,2090,1750,10
611,7390,2710,5440,10
1062,6980,2160,2750,10
469,8270,1190,4070,10
798,10690,5480,4700,10
361,6680,940,3900,10
1088,8170,3980,3670,10
41,8440,550,3970,10
690,6950,5240,5140,10
1105,6590,6180,2880,10
551,6700,5440,2870,10
589508447,8790,5880,3050,10
754,4380,6910,4120,10
165,8950,4860,5570,10
692,8290,4460,1240,10
378,6110,3350,1540,10
867,10340,4240,4140,10
1070,6780,1900,2480,10
781,11270,4490,3730,10
350,10620,4700,4740,10
21,3100,5590,3700,10
514,13080,5150,4800,10
1081,3710,3580,4880,10
343,9240,4760,4630,10
294,9150,2330,4770,10
1007,11070,2460,3370,10
945,5610,2160,3460,10
1049,10540,5220,2550,10
613,9040,1940,2190,10
896,7340,2990,2230,10
1111,6710,1100,3980,10
763,4920,6500,5670,10
394,7660,720,4040,10
560581551,7580,3630,4400,10
549009219,10200,5570,4450,10
1093,10200,5880,5010,10
157,6580,6450,5600,10
278,6610,6150,3390,10
903,12470,4840,4340,10
929,5920,2900,2600,10
304,2960,2700,5430,10
201,6680,1520,2220,10
204,1960,3640,4560,10
910,3250,3520,4920,10
1000,10180,5630,5350,10
938,11580,6610,4750,10
1045,8130,4280,1470,10
310,5410,3690,5360,10
369,5450,1740,3270,10
88,6080,6310,5160,10
1043,10620,5630,5450,10
760,6980,5390,4200,10
381,8440,5170,4030,10
996,3040,4340,2850,10
520,7770,3490,1470,10
723,2960,3830,4170,10
1106,6240,4480,1010,10
664,9830,4230,2190,10
863,10100,6280,4130,10
322,5740,2060,2730,10
314,6140,4980,1840,10
1011,7540,2430,1470,10
1030,5790,740,3810,10
484,2540,3620,5580,10
869,9940,2130,2270,10
955,12400,6990,4450,10
149,6330,3840,5620,10
344,6000,5050,1620,10
170,7570,3230,3380,10
583,4550,4770,2750,10
755,7730,3350,820,10
512,11580,3260,3740,10
651,12200,5270,4920,10
1041,11140,5330,2000,10
280,10660,4380,4890,10
1139,6040,6650,3530,10
257,8300,1070,4050,10
496345664,7770,3200,3280,10
1026,5790,2300,3560,10
203,11910,6250,4340,10
428,5530,4850,5450,10
211,4350,1820,5470,10
146,9510,5320,4790,10
102,6980,5390,4200,10
673,8370,5540,5090,10
1017,11820,2940,2730,10
1069,10880,7050,4930,10
1108,4360,3200,4650,10
434,7950,430,4920,10
843,9750,3560,2810,10
50,7630,3300,5460,10
229,10820,6060,3440,10
849,6470,4430,1790,10
906,7960,1080,4410,10
1018,7800,3400,1050,10
379,11130,6700,5670,10
940,6290,1740,4690,10
156,7590,2690,1830,10
515,5520,6170,5370,10
290,6810,5750,4430,10
1037,9170,2180,3600,10
19,4820,2920,5630,10
720,12820,5150,4970,10
1127,8390,3530,810,10
312782558,7260,880,3600,10
563807435,8060,3960,3970,10
312782636,9660,2700,1450,10
182305689,5860,1720,2910,10
733,7070,4150,3910,10
23,5730,6530,3600,10
127,6090,4490,4990,10
599,6670,4460,5540,10
423,7830,2810,2740,10
1097,6640,6010,4930,10
296,4860,2440,5490,10
180,4480,4480,1760,10
963,11910,7010,3920,10
1123,11480,5610,3390,10
976,10750,3420,5230,10
1091,11330,2380,4600,10
699,3850,4230,3590,10
600,7510,2300,1290,10
406,7790,4520,4720,10
588,4790,2430,5620,10
136,11670,6090,4730,10
1128,6020,1370,3980,10
289,8340,3600,1200,10
530,5910,2480,5530,10
1132,10050,5460,3770,10
307,11190,6760,5320,10
1005,8020,3020,1670,10
831,4050,4190,3220,10
235,12350,6990,4400,10
238,10190,5040,5620,10
496345668,7460,3260,3400,10
948,9640,4800,4000,10
721,9050,1210,3090,10
1016,960,5290,5440,10
403,6850,6360,3600,10
959,7830,3320,660,10
266,4830,4730,5090,10
596,4820,6480,5070,10
889,5830,2750,2440,10
327,6500,6580,3030,10
914,5490,5730,5190,10
680,3450,3620,4640,10
629,6490,4410,4500,10
1090,6170,3400,1640,10
78,9530,5550,3620,10
366,6700,4920,5280,10
729,8170,3710,1380,10
840,1790,5190,4690,10
731,2790,3580,5350,10
1079,8380,3870,3360,10
564,4770,4990,5610,10
414,7510,4790,5390,10
312782604,7770,930,2450,10
412,2780,3930,4210,10
247,7860,2860,1230,10
312782612,7790,1240,2600,10
58,8320,5310,4660,10
128,8950,3920,4670,10
1126,7610,6480,5540,10
589508451,12470,5170,3730,10
286,5900,6850,5530,10
767,3620,2180,4390,10
809,5360,5180,4790,10
587,8430,3860,5520,10
164,12720,5570,5690,10
606826663,9590,3920,5330,10
599626923,7820,3080,5640,10
217,11140,4380,4120,10
654,5640,2370,2040,10
589508455,11320,4120,4530,10
606826647,8040,6130,5150,10
354,11730,5960,4500,10
714,2860,3710,4670,10
960,11240,4090,3910,10
526157196,2970,2930,4440,10
1074,8280,1420,1770,10
338,5870,3410,5610,10
1052,9680,4270,4410,10
409,9090,1840,2110,10
158,8040,3140,5520,10
911,10140,3580,4780,10
